Fire,Type,Fire_Year,Before,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8
Patch Springs,"Steep, Low LW, Low Burn",2013,Google 2013,WV 2014,Google 2015,WV 2016,Google 2017,Hexagonal  2018,WV 2019,,
Goose Creek,"Shallow, Low LW, Low Burn",2018,Hexagonal 2018,,,,,,,,
Box Canyon,"Shallow, Low LW, Low Burn",2016,WV 2016,WV 2016,Google 2017,Hexagonal 2018,WV 2019,,,,
Pole Creek,"Shallow, Low LW, Low Burn",2018,Hexagonal 2018,WV 2018,Google/WV 2019 (partial),Google 2020,WV 2021,,,,
Clay Springs,"Shallow, Low LW, Low Burn",2012,Google 2011,Google 2014,WV 2015,WV 2016,WV 2017,Hexagonal 2018,Google 2019,WV 2020,
Dollar Ridge ,"Shallow, High LW, Low Burn",2018,WV 2017,Hexagonal 2018,Google 2019,NAIP 2020,,,,,
Tank Hollow,"Shallow, High LW, Low Burn",2017,Hexagonal 2018,Google 2019,,,,,,,
Bridge,"Shallow, High LW, Low Burn",2009,,Google 2012,QB 2013,Google 2014,WV 2015,Google 2016,Hexagonal 2018,Google 2019,
Seeley,"Steep, Low LW, Mod-High Burn",2012,WV 2010,Google 2013,Google 2015,WV 2016,WV 2017,Hexagonal 2018,WV 2019,,
Bald Mountain,"Steep, Low LW, Mod-High Burn",2018,Hexagonal  2018 ,GE 2019,GE 2020,,,,,,
Shingle,"Shallow, Low LW, Mod-High Burn",2012,,Google 2013,Google 2015,Hexagonal 2018,Google 2019,,,,
Blind Canyon,"Shallow, Low LW, Mod-High Burn",2009,,WV 2011,Google 2012,Google 2013,WV 2014,WV 2015,Google 2016,WV 2017,Hexagonal 2018
Lake Fork,"Shallow, Low LW, Mod-High Burn",2009,,WV 2012,Google 2013,WV 2014,Google 2015,WV 2016,WV 2017,Hexagonal 2018,Google 2019
Trail Mountain,"Steep, High LW, Mod-High Burn",2018,Hexagonal  2018,,,,,,,,
Twitchell Canyon,"Steep, High LW, Mod-High Burn",2010,,Google 2011,Google 2014,Hexagonal 2018,,,,,
Brianhead,"Shallow, High LW, Mod-High Burn",2017,WV 2017,Hexagonal 2018,Google 2019,,,,,,
Coal Hollow ,"Shallow, High LW, Mod-High Burn",2018,Hexagonal  2018,Google 2019,,,,,,,
West Valley,"Shallow, High LW, Mod-High Burn",2018,Hexagonal  2018,Google 2019,,,,,,,
